study_id,dbgap_id,male,female,unknown
4083,phs001806.v1.p1,0,0,1059
4084,phs001807.v1.p1,54,33,3
4086,phs001808.v1.p1,23,53,0
4088,phs000989.v4.p1,0,0,7811
4090,phs001811.v1.p1,33,69,0
4092,phs001812.v1.p1,180,146,18
4095,phs001296.v2.p1,0,0,41
4097,phs001295.v2.p1,0,0,293
4107,phs001814.v1.p1,149,130,0
4109,phs001816.v1.p1,0,0,11
4110,phs001817.v1.p1,85,177,0
4113,phs001820.v1.p1,315,182,2
4116,phs001823.v1.p1,443,324,46
4117,phs001824.v1.p1,19,0,0
4118,phs001825.v1.p1,164,0,0
4121,phs001826.v1.p1,2995,3119,22
4123,phs000256.v4.p3,0,6476,0
4128,phs001828.v1.p1,799,593,0
4129,phs001829.v1.p1,29,19,0
4130,phs001208.v2.p1,2523,2892,3087
4131,phs001830.v1.p1,12,0,0
4132,phs001831.v1.p1,147,140,0
4134,phs001833.v1.p1,134,165,0
4135,phs001834.v1.p1,12,18,0
4136,phs001835.v1.p1,0,0,3
4137,phs001836.v1.p1,16,60,0
4140,phs001839.v1.p1,4,8,0
4141,phs001840.v1.p1,6,3,0
4142,phs001841.v1.p1,327,225,799
4143,phs001842.v1.p1,0,44,0
4146,phs001845.v1.p1,342,237,0
4152,phs001846.v1.p1,0,0,1805
4153,phs001847.v1.p1,4,0,0
4154,phs001848.v1.p1,1,2,0
4157,phs001850.v1.p1,34,276,34
4159,phs001851.v1.p1,0,0,556
4160,phs001852.v1.p1,212,187,18
4161,phs001853.v1.p1,33,11,0
4162,phs001854.v1.p1,544,690,0
4163,phs001855.v1.p1,277,323,283
4164,phs001856.v1.p1,4948,4976,0
4165,phs001857.v1.p1,0,677,1351
4166,phs001858.v1.p1,15912,18254,138
4175,phs001861.v1.p1,0,0,24
4176,phs001862.v1.p1,278,380,0
4178,phs000966.v2.p2,294,380,1137
4179,phs001864.v1.p1,13,9,0
4180,phs001865.v1.p1,0,552,0
4181,phs001866.v1.p1,0,166,0
4182,phs001867.v1.p1,12,13,4
4189,phs000521.v2.p1,0,0,131
4190,phs000924.v4.p1,591,1091,170
4192,phs001737.v2.p1,42,21,24
4193,phs001870.v1.p1,0,340,0
4194,phs001871.v1.p1,137,211,0
4195,phs001373.v2.p2,32,20,0
4197,phs001872.v1.p1,290,309,4
4200,phs001875.v1.p1,8,9,2
4202,phs001877.v1.p1,65,17,0
4205,phs001879.v1.p1,292,255,0
4207,phs001880.v1.p1,194,235,0
4208,phs000996.v2.p1,698,687,0
4209,phs001881.v1.p1,2839,1545,0
4211,phs001883.v1.p1,0,45,0
4213,phs001884.v1.p1,81,273,0
4214,phs001885.v1.p1,0,4486,0
4217,phs001887.v1.p1,50,0,0
4219,phs001889.v1.p1,20,14,4
4222,phs001176.v3.p1,921,628,0
4224,phs001892.v1.p1,0,2,11
4228,phs001333.v2.p1,0,0,21
4229,phs001576.v2.p2,0,0,52
4230,phs001331.v2.p1,0,0,1023
4231,phs001894.v1.p1,419,305,0
4233,phs000979.v3.p2,2467,1321,0
4237,phs001897.v1.p1,64,56,4
4240,phs001374.v2.p1,0,0,170
4243,phs001900.v1.p1,670,520,0
4246,phs001258.v2.p1,676,0,0
4248,phs001903.v1.p1,18421,19016,0
4249,phs001648.v2.p1,311,0,0
4250,phs000700.v2.p1,14,8,0
4254,phs000974.v4.p3,1906,2261,0
4257,phs001906.v1.p1,26,37,21
4258,phs001907.v1.p1,0,58,0
4261,phs001416.v2.p1,2563,2855,0
4274,phs001910.v1.p1,27,35,0
4275,phs001911.v1.p1,6,11,38
4276,phs001912.v1.p1,382,45,0
4277,phs001913.v1.p1,79,198,0
4278,phs001914.v1.p1,76,34,2
4279,phs001349.v2.p1,10093,515,0
4282,phs001486.v3.p3,545,531,0
4283,phs001917.v1.p1,454,370,0
4285,phs001919.v1.p1,44,16,0
4287,phs001237.v2.p1,0,11600,45
4289,phs001921.v1.p1,525,0,0
4290,phs001922.v1.p1,0,339,0
4291,phs001623.v2.p1,306,111,56
4294,phs001924.v1.p1,0,8,0
4296,phs001570.v2.p1,3,679,0
4298,phs001703.v3.p1,1147,662,0
4299,phs001925.v1.p1,16,22,0
4300,phs001444.v2.p1,747,532,637
4304,phs000968.v2.p1,208,0,0
4307,phs001330.v2.p1,0,0,40
4308,phs001575.v2.p1,0,0,42
4309,phs001332.v2.p1,0,0,354
4310,phs001929.v1.p1,325,275,0
4311,phs001930.v1.p1,0,0,114
4312,phs001931.v1.p1,20,64,0
4314,phs001932.v1.p1,1362,1243,0
4315,phs000784.v3.p1,518,482,776
4318,phs001933.v1.p1,89,24,0
4319,phs001934.v1.p1,179,192,51
4321,phs001935.v1.p1,6,6,6
4322,phs001936.v1.p1,4,15,0
4323,phs001937.v1.p1,0,189,0
4325,phs000999.v3.p1,130,112,0
4326,phs001325.v3.p1,127,164,112
4329,phs001941.v1.p1,7,0,0
4330,phs001942.v1.p1,16,3,0
4331,phs001943.v1.p1,14,20,0
4348,phs001584.v2.p2,47973,56726,54
4349,phs001895.v2.p1,378,200,0
4357,phs001945.v1.p1,120,11534,34
4358,phs001616.v2.p2,22923,26871,66
4359,phs000791.v2.p1,125,113,21
4362,phs001947.v1.p1,15,8,0
4363,phs001180.v2.p1,2179,2248,35
4367,phs001052.v2.p1,82,39,0
4368,phs001949.v1.p1,13495,15325,0
4373,phs001951.v1.p1,88,40,0
4375,phs001953.v1.p1,0,0,89
4376,phs001954.v1.p1,144,212,0
4377,phs001955.v1.p1,6342,6346,703
4378,phs001956.v1.p1,43,36,0
4379,phs001957.v1.p1,0,0,32
4381,phs001959.v1.p1,3,4,5
4382,phs001960.v1.p1,0,143,0
4384,phs001961.v1.p1,7,4,0
4385,phs001962.v1.p1,0,0,20
4386,phs001963.v1.p1,3885,2953,69
4394,phs001282.v2.p1,29,8,2
4396,phs001564.v3.p1,95,97,40
4397,phs001707.v2.p1,0,0,85
4398,phs001430.v2.p1,0,0,28
4402,phs000815.v2.p1,424,575,396
4403,phs001969.v1.p1,27,10,0
4404,phs001940.v2.p1,38,34,0
4405,phs001970.v1.p1,0,0,134
4407,phs001972.v1.p1,1273,1411,101
4412,phs001975.v1.p1,0,0,5
4418,phs001087.v3.p1,244,91,0
4420,phs000960.v2.p1,0,0,63
4421,phs000575.v2.p1,0,0,390
4424,phs001979.v1.p1,224,131,0
4425,phs001980.v1.p1,4,1,0
4426,phs001981.v1.p1,32,16,0
4428,phs001982.v1.p1,26,36,0
4431,phs001517.v2.p2,514,480,12
4436,phs001266.v2.p1,384,261,721
4437,phs001135.v2.p1,685,293,9
4439,phs001987.v1.p1,0,0,79
4441,phs001988.v1.p1,157,0,0
4444,phs001990.v1.p1,344,760,48
4445,phs000185.v7.p1,512,801,319
4448,phs001993.v1.p1,43,31,0
4450,phs001994.v1.p1,89,31,0
4452,phs001995.v1.p1,298,380,0
4454,phs001997.v1.p1,113,111,567
4457,phs002000.v1.p1,72,68,2
4458,phs001976.v2.p1,44,16,0
4459,phs002001.v1.p1,69,64,0
4461,phs001169.v2.p1,921,193,0
4462,phs002002.v1.p1,2234,513,0
4463,phs002003.v1.p1,111,110,0
4465,phs001916.v2.p1,0,100,0
4468,phs002007.v1.p1,0,0,85
4469,phs002008.v1.p1,74,24,20
4470,phs000280.v7.p1,19515,24125,578
4483,phs000640.v9.p1,0,141,0
4497,phs002015.v1.p1,0,0,4203
4500,phs002017.v1.p1,0,289,0
4502,phs002019.v1.p1,0,0,22
4503,phs002020.v1.p1,438,352,486
4504,phs002021.v1.p1,0,2,0
4506,phs002022.v1.p1,16,30,0
4508,phs002023.v1.p1,6,24,0
4509,phs002024.v1.p1,271,228,0
4510,phs002025.v1.p1,2283,1719,0
4516,phs002030.v1.p1,407,231,0
4520,phs002034.v1.p1,86,59,12
4522,phs002035.v1.p1,25,34,0
4523,phs002036.v1.p1,1,0,0
4524,phs002037.v1.p1,252,224,2
4526,phs000007.v32.p13,23738,28003,7813
4535,phs002039.v1.p1,6192,29463,0
4536,phs002040.v1.p1,2,1,0
4540,phs001619.v3.p1,211,215,125
4542,phs002045.v1.p1,48,22,0
4543,phs002046.v1.p1,1401,4157,27
4545,phs000397.v3.p3,2326,2828,7327
4547,phs002049.v1.p1,84,64,0
4548,phs002050.v1.p1,2226,2830,0
4549,phs002051.v1.p1,0,0,99
4550,phs002052.v1.p1,20,21,0
4551,phs002053.v1.p1,0,0,39
4553,phs002055.v1.p1,179,100,0
4554,phs001938.v2.p1,377,0,0
4556,phs002056.v1.p1,6498,79,0
4559,phs001683.v2.p1,378,391,313
4562,phs002059.v1.p1,973,935,227
4563,phs001886.v2.p1,0,31,0
4565,phs002060.v1.p1,0,624,0
4566,phs002061.v1.p1,0,0,364
4567,phs002062.v1.p1,0,1089,0
4568,phs002063.v1.p1,21,13,0
4571,phs002065.v1.p1,0,0,18
4572,phs002066.v1.p1,160,0,13
4573,phs002067.v1.p1,38,27,1
4574,phs002068.v1.p1,1536,1221,0
4575,phs001011.v2.p1,936,635,0
4576,phs002069.v1.p1,154,184,0
4578,phs000450.v4.p1,252,226,0
4579,phs002071.v1.p1,24,16,1
4581,phs002073.v1.p1,101,139,0
4583,phs002075.v1.p1,0,13,0
4584,phs002006.v2.p1,15,13,1
4594,phs002083.v1.p1,50,0,0
4601,phs002089.v1.p1,6,0,0
4617,phs002105.v1.p1,69,150,0
4642,phs002130.v1.p1,0,0,278
4658,phs002146.v1.p1,16,6,0
4673,phs002161.v1.p1,0,0,410
4674,phs002162.v1.p1,0,0,147
4684,phs002172.v1.p1,0,0,403
4697,phs002185.v1.p1,3759,2225,0
4699,phs002187.v1.p1,0,0,798
4700,phs002188.v1.p1,10,10,0
4709,phs002197.v1.p1,9,7,0
4714,phs002202.v1.p1,0,0,10
4716,phs002204.v1.p1,11,10,0
4720,phs002208.v1.p1,104,77,0
4722,phs002210.v1.p1,0,7,0
4723,phs002211.v1.p1,0,30,0
4724,phs002212.v1.p1,16,2,0
4729,phs002217.v1.p1,3,0,0
4734,phs002222.v1.p1,12,32,0
4736,phs002224.v1.p1,31,85,0
4738,phs002225.v1.p1,0,10,0
4739,phs002226.v1.p1,3747,0,0
4743,phs000976.v2.p1,1586,1774,16716
4744,phs002228.v1.p1,66,47,0
4745,phs001182.v2.p1,41,51,0
4746,phs002229.v1.p1,30,0,0
4747,phs001110.v3.p1,829,743,786
4748,phs002230.v1.p1,241,555,556
4749,phs001818.v3.p1,27,24,0
4753,phs002234.v1.p1,3,1,0
4754,phs002235.v1.p1,4439,3896,0
4758,phs002237.v1.p1,0,0,5
4759,phs002238.v1.p1,419,264,0
4761,phs002240.v1.p1,90,162,0
4765,phs002244.v1.p1,46,20,0
4766,phs002245.v1.p1,342,251,1
4773,phs002252.v1.p1,38,15,0
4782,phs002254.v1.p1,70,64,0
4783,phs002255.v1.p1,209,180,2
4786,phs002258.v1.p1,0,0,732
4788,phs002259.v1.p1,41,185,0
4794,phs002262.v1.p1,0,3,0
4801,phs002269.v1.p1,25,12,0
4802,phs002270.v1.p1,0,0,82
4808,phs001217.v3.p1,973,877,1489
4809,phs001218.v3.p1,734,1044,1427
4812,phs001345.v3.p1,382,882,590
4813,phs001368.v3.p2,1473,2064,0
4814,phs001395.v2.p1,3225,4515,0
4815,phs001412.v3.p1,169,234,580
4818,phs001608.v2.p1,289,351,2
4820,phs001644.v2.p2,5029,6993,27
4821,phs001662.v2.p1,1637,1492,3
4824,phs001819.v2.p1,6,8,25
4832,phs000920.v5.p3,2016,2021,922
4835,phs000954.v4.p2,579,710,3
4836,phs000956.v5.p1,559,552,1081
4838,phs000972.v5.p1,535,807,0
4840,phs000988.v5.p1,2337,2235,413
4841,phs002273.v1.p1,0,0,89
4856,phs002276.v1.p1,46,12,2878
4866,phs002279.v1.p1,540,0,0
4867,phs002280.v1.p1,0,0,55
4870,phs002283.v1.p1,856,467,0
4874,phs002286.v1.p1,3,14,0
4876,phs001800.v2.p1,26,4,0
4877,phs002287.v1.p1,0,0,72
4880,phs002289.v1.p1,34177,16812,0
4882,phs002290.v1.p1,95,36,0
4883,phs002291.v1.p1,8,2,0
4884,phs002292.v1.p1,1811,2344,0
4886,phs002294.v1.p1,0,72,0
4887,phs002295.v1.p1,234,0,0
4892,phs002298.v1.p1,359,36,0
4893,phs001073.v2.p1,46,78,0
4894,phs002299.v1.p1,0,0,479
4896,phs001327.v2.p1,5497,5866,24538
4897,phs002301.v1.p1,129,69,0
4898,phs001422.v2.p1,28,18,0
4901,phs002304.v1.p1,377,244,0
4905,phs001120.v2.p2,12947,0,0
4908,phs002308.v1.p1,0,0,88
4910,phs002309.v1.p1,6,18,0
4911,phs002310.v1.p1,1328,559,34
4912,phs002311.v1.p1,100,194,2
4914,phs002313.v1.p1,0,21,0
4916,phs002315.v1.p1,0,0,2
4917,phs002316.v1.p1,0,0,34
4918,phs002317.v1.p1,232,183,0
4922,phs002319.v1.p1,716,813,0
4928,phs002323.v1.p1,191,176,0
4930,phs001735.v2.p1,2457,2131,1
4932,phs001442.v3.p2,21998,21012,10739
4935,phs002327.v1.p1,11,13,0
4936,phs002328.v1.p1,178,90,0
4937,phs001427.v2.p1,100,23,0
4940,phs002330.v1.p1,0,0,2297
4943,phs001423.v3.p2,927,631,120
4946,phs002333.v1.p1,8,4,0
4947,phs002334.v1.p1,31,47,0
4948,phs002335.v1.p1,7,7,0
4954,phs002340.v1.p1,0,22,0
4955,phs001590.v2.p1,9873,12975,0
4956,phs002341.v1.p1,72,72,0
4957,phs001287.v9.p5,941,818,3235
4958,phs001003.v2.p1,259,419,0
4959,phs002342.v1.p1,5,0,0
4961,phs002344.v1.p1,0,0,17
4963,phs002346.v1.p1,325,53,0
4965,phs002348.v1.p1,0,0,1059
4971,phs001754.v4.p2,3664,6253,0
4982,phs002361.v1.p1,1,1,0
4983,phs001908.v2.p1,16,34,0
4985,phs002362.v1.p1,0,0,5946
4988,phs002364.v1.p1,2,1,0
4989,phs001485.v2.p1,117,91,0
4990,phs002365.v1.p1,18,0,0
4993,phs002366.v1.p1,0,1195,0
4995,phs001388.v2.p1,2460,4132,0
4999,phs001504.v2.p1,489,487,0
5001,phs002368.v1.p1,2,2,0
5012,phs002377.v1.p1,42,36,0
5018,phs000720.v4.p1,586,361,7
5021,phs002383.v1.p1,0,0,720
5023,phs002385.v1.p1,0,0,1518
5024,phs002386.v1.p1,0,0,79
5025,phs002387.v1.p1,0,2529,0
5028,phs002389.v1.p1,38,22,2
5031,phs002392.v1.p1,36,46,0
5033,phs002394.v1.p1,79,95,0
5039,phs001749.v2.p1,911,1204,0
5053,phs002398.v1.p1,129,0,0
5061,phs002405.v1.p1,11,12,0
5063,phs002407.v1.p1,98,83,0
5064,phs002408.v1.p1,5,4,0
5065,phs001500.v2.p1,106,0,0
5067,phs002410.v1.p1,0,0,813
5068,phs002411.v1.p1,0,88,0
5073,phs002415.v1.p1,0,0,219
5075,phs002416.v1.p1,3,36,0
5077,phs002417.v1.p1,1583,1510,0
5078,phs000946.v5.p1,21,53,6
5080,phs002419.v1.p1,0,159,0
5081,phs002176.v2.p1,43,58,0
5083,phs002421.v1.p1,0,0,11
5084,phs000993.v5.p2,464,247,0
5085,phs000997.v5.p2,118,55,0
5086,phs001024.v5.p1,84,44,0
5087,phs001032.v6.p2,826,308,0
5088,phs001515.v2.p2,6460,2710,4
5092,phs001040.v5.p1,0,117,1
5099,phs002428.v1.p1,144,274,0
5101,phs000922.v2.p1,518,168,2
5104,phs001798.v2.p2,0,0,2294
5106,phs002433.v1.p1,22,16,0
5108,phs001189.v4.p1,294,70,2
5110,phs002436.v1.p1,19,17,0
5111,phs002437.v1.p1,16,18,0
5115,phs001359.v3.p1,506,558,6
5116,phs002440.v1.p1,24,14,0
5118,phs001387.v3.p1,1158,1185,3138
5122,phs000971.v3.p1,726,908,0
5123,phs002444.v1.p1,392,323,5
5128,phs002448.v1.p1,2,12,0
5132,phs001402.v3.p1,795,739,1
5136,phs002088.v2.p1,22,18,0
5139,phs002457.v1.p1,3,92,0
5140,phs001434.v2.p1,47,18,0
5141,phs001435.v2.p1,79,41,0
5147,phs001027.v4.p1,636,325,0
5148,phs002462.v1.p1,215,0,0
5152,phs002464.v1.p1,22,1,6
5155,phs001782.v2.p1,536,681,0
5157,phs001783.v2.p1,758,940,0
5159,phs001466.v2.p1,425,409,66
5160,phs000095.v4.p2,2013,2399,1380
5165,phs001543.v2.p1,265,84,1
5166,phs001544.v2.p1,114,7,0
5169,phs002471.v1.p1,5,0,0
5178,phs001545.v2.p1,315,152,9
5179,phs001546.v2.p1,5,1,0
5180,phs001547.v2.p1,75,15,0
5181,phs001598.v2.p1,222,68,0
5182,phs002480.v1.p1,1059,821,2
5186,phs001601.v2.p2,1300,953,0
5187,phs001772.v2.p1,134,132,0
5188,phs001600.v2.p2,710,701,0
5189,phs001602.v2.p1,5,2,0
5191,phs001604.v2.p1,29,27,0
5192,phs002484.v1.p1,49,37,0
5193,phs001605.v2.p1,109,187,0
5194,phs001606.v2.p1,134,190,0
5196,phs002486.v1.p1,30,30,0
5197,phs002487.v1.p1,508,192,0
5202,phs001472.v2.p1,1591,898,0
5216,phs002493.v1.p1,160,88,0
5218,phs001467.v2.p2,1699,3160,52
5223,phs002499.v1.p1,13,6,0
5239,phs002506.v1.p1,4037,3056,0
5240,phs001232.v4.p2,5164,5476,1384
5244,phs002508.v1.p1,483,2373,0
5266,phs001682.v2.p1,186,184,8
5267,phs001661.v3.p1,2791,2673,0
5268,phs001725.v2.p1,468,172,0
5284,phs002545.v1.p1,51,21,0
5285,phs000663.v3.p3,673,882,24
5294,phs001727.v2.p1,22,40,0
5296,phs001728.v2.p1,34,16,0
5297,phs001729.v2.p1,11,8,0
5298,phs001730.v2.p1,24,17,0
5299,phs001732.v2.p1,43,46,0
5303,phs002557.v1.p1,2,0,2
5309,phs001939.v2.p1,126,0,0
5339,phs001813.v2.p1,1254,0,0
5346,phs001468.v3.p1,1298,1450,47
5389,phs001918.v2.p1,5175,3924,0
5413,phs002632.v1.p1,242,607,0
