"ega_stable_id";"male";"female";"unknown";"total";"to_char";"repository"
"EGAS00001002783";"0";"0";"21";"21";"2018-01-02";"EGA"
"EGAS00001002784";"59";"23";"0";"82";"2018-01-03";"EGA"
"EGAS00001002786";"0";"0";"59";"59";"2018-01-05";"EGA"
"EGAS00001002787";"582";"694";"498";"1774";"2018-01-06";"EGA"
"EGAS00001002788";"28";"14";"0";"42";"2018-01-09";"EGA"
"EGAS00001002789";"0";"0";"158";"158";"2018-01-10";"EGA"
"EGAS00001002793";"1102";"612";"0";"1714";"2018-01-11";"EGA"
"EGAS00001002792";"0";"22";"0";"22";"2018-01-11";"EGA"
"EGAS00001002790";"7";"11";"0";"18";"2018-01-11";"EGA"
"EGAS00001002791";"3381";"7757";"0";"11138";"2018-01-11";"EGA"
"EGAS00001002795";"13";"32";"11";"56";"2018-01-12";"EGA"
"EGAS00001002796";"0";"0";"6";"6";"2018-01-12";"EGA"
"EGAS00001002798";"0";"0";"0";"0";"2018-01-16";"EGA"
"EGAS00001002801";"63";"69";"0";"132";"2018-01-17";"EGA"
"EGAS00001002802";"0";"0";"15";"15";"2018-01-17";"EGA"
"EGAS00001002803";"0";"54";"0";"54";"2018-01-19";"EGA"
"EGAS00001002804";"10";"14";"0";"24";"2018-01-20";"EGA"
"EGAS00001002805";"0";"60";"0";"60";"2018-01-20";"EGA"
"EGAS00001002806";"0";"2";"0";"2";"2018-01-20";"EGA"
"EGAS00001002807";"27";"24";"0";"51";"2018-01-20";"EGA"
"EGAS00001002811";"0";"0";"36";"36";"2018-01-24";"EGA"
"EGAS00001002809";"3374";"4795";"0";"8169";"2018-01-24";"EGA"
"EGAS00001002812";"0";"0";"57";"57";"2018-01-24";"EGA"
"EGAS00001002814";"0";"0";"520";"520";"2018-01-25";"EGA"
"EGAS00001002816";"92";"0";"0";"92";"2018-01-26";"EGA"
"EGAS00001002819";"64";"38";"0";"102";"2018-01-27";"EGA"
"EGAS00001002818";"29";"15";"0";"44";"2018-01-27";"EGA"
"EGAS00001002820";"19";"31";"0";"50";"2018-01-28";"EGA"
"EGAS00001002825";"85";"113";"0";"198";"2018-01-30";"EGA"
"EGAS00001002823";"70";"23";"0";"93";"2018-01-30";"EGA"
"EGAS00001002822";"4";"4";"0";"8";"2018-01-30";"EGA"
"EGAS00001002827";"28";"26";"0";"54";"2018-02-02";"EGA"
"EGAS00001002826";"2";"0";"0";"2";"2018-02-02";"EGA"
"EGAS00001002830";"3";"1";"0";"4";"2018-02-06";"EGA"
"EGAS00001002833";"0";"143";"0";"143";"2018-02-07";"EGA"
"EGAS00001002831";"0";"4";"0";"4";"2018-02-07";"EGA"
"EGAS00001002839";"0";"711";"0";"711";"2018-02-08";"EGA"
"EGAS00001002842";"73";"30";"0";"103";"2018-02-09";"EGA"
"EGAS00001002840";"0";"0";"3";"3";"2018-02-09";"EGA"
"EGAS00001002844";"200";"8";"0";"208";"2018-02-12";"EGA"
"EGAS00001002843";"0";"0";"0";"0";"2018-02-12";"EGA"
"EGAS00001002846";"0";"6";"0";"6";"2018-02-13";"EGA"
"EGAS00001002845";"0";"6";"0";"6";"2018-02-13";"EGA"
"EGAS00001002847";"2";"1";"0";"3";"2018-02-14";"EGA"
"EGAS00001002850";"223";"78";"0";"301";"2018-02-19";"EGA"
"EGAS00001002854";"80";"76";"0";"156";"2018-02-19";"EGA"
"EGAS00001002858";"5";"668";"16";"689";"2018-02-19";"EGA"
"EGAS00001002853";"0";"0";"14";"14";"2018-02-19";"EGA"
"EGAS00001002856";"84";"66";"0";"150";"2018-02-19";"EGA"
"EGAS00001002859";"190";"108";"0";"298";"2018-02-19";"EGA"
"EGAS00001002851";"24";"0";"0";"24";"2018-02-19";"EGA"
"EGAS00001002852";"82";"12";"0";"94";"2018-02-19";"EGA"
"EGAS00001002860";"9";"8";"0";"17";"2018-02-20";"EGA"
"EGAS00001002861";"19";"18";"2";"39";"2018-02-21";"EGA"
"EGAS00001002863";"0";"0";"34";"34";"2018-02-21";"EGA"
"EGAS00001002864";"0";"0";"74";"74";"2018-02-21";"EGA"
"EGAS00001002865";"37";"27";"0";"64";"2018-02-22";"EGA"
"EGAS00001002869";"53";"26";"0";"79";"2018-02-22";"EGA"
"EGAS00001002866";"480";"0";"192";"672";"2018-02-22";"EGA"
"EGAS00001002871";"0";"30";"0";"30";"2018-02-23";"EGA"
"EGAS00001002873";"464";"5";"3";"472";"2018-02-24";"EGA"
"EGAS00001002872";"52";"28";"0";"80";"2018-02-24";"EGA"
"EGAS00001002874";"812";"469";"0";"1281";"2018-02-24";"EGA"
"EGAS00001002877";"0";"1";"0";"1";"2018-02-28";"EGA"
"EGAS00001002876";"753";"0";"0";"753";"2018-02-28";"EGA"
"EGAS00001002879";"114";"31";"0";"145";"2018-03-01";"EGA"
"EGAS00001002882";"10";"9";"0";"19";"2018-03-02";"EGA"
"EGAS00001002892";"77";"25";"0";"102";"2018-03-03";"EGA"
"EGAS00001002888";"14";"14";"0";"28";"2018-03-03";"EGA"
"EGAS00001002889";"178";"131";"0";"309";"2018-03-03";"EGA"
"EGAS00001002885";"0";"0";"42";"42";"2018-03-03";"EGA"
"EGAS00001002891";"107";"35";"0";"142";"2018-03-03";"EGA"
"EGAS00001002884";"231";"114";"0";"345";"2018-03-03";"EGA"
"EGAS00001002886";"4";"0";"46";"50";"2018-03-03";"EGA"
"EGAS00001002896";"0";"0";"693";"693";"2018-03-08";"EGA"
"EGAS00001002895";"4";"8";"0";"12";"2018-03-08";"EGA"
"EGAS00001002894";"18";"14";"0";"32";"2018-03-08";"EGA"
"EGAS00001002893";"38";"26";"0";"64";"2018-03-08";"EGA"
"EGAS00001002901";"8";"0";"0";"8";"2018-03-09";"EGA"
"EGAS00001002898";"0";"4";"0";"4";"2018-03-09";"EGA"
"EGAS00001002899";"4";"0";"54";"58";"2018-03-09";"EGA"
"EGAS00001002897";"10";"10";"0";"20";"2018-03-09";"EGA"
"EGAS00001002903";"0";"15";"0";"15";"2018-03-11";"EGA"
"EGAS00001002908";"0";"0";"17";"17";"2018-03-14";"EGA"
"EGAS00001002910";"13";"11";"0";"24";"2018-03-14";"EGA"
"EGAS00001002911";"0";"1";"0";"1";"2018-03-15";"EGA"
"EGAS00001002917";"43";"46";"0";"89";"2018-03-20";"EGA"
"EGAS00001002920";"54";"31";"0";"85";"2018-03-21";"EGA"
"EGAS00001002921";"544";"514";"105";"1163";"2018-03-21";"EGA"
"EGAS00001002922";"0";"0";"0";"0";"2018-03-22";"EGA"
"EGAS00001002923";"557";"0";"249";"806";"2018-03-23";"EGA"
"EGAS00001002928";"0";"0";"589";"589";"2018-03-24";"EGA"
"EGAS00001002927";"10";"14";"0";"24";"2018-03-24";"EGA"
"EGAS00001002932";"0";"0";"76";"76";"2018-03-27";"EGA"
"EGAS00001002931";"0";"0";"37";"37";"2018-03-27";"EGA"
"EGAS00001002929";"0";"0";"5";"5";"2018-03-27";"EGA"
"EGAS00001002933";"96";"2208";"0";"2304";"2018-03-28";"EGA"
"EGAS00001002936";"318";"204";"0";"522";"2018-03-28";"EGA"
"EGAS00001002937";"964";"960";"0";"1924";"2018-03-28";"EGA"
"EGAS00001002935";"21";"17";"0";"38";"2018-03-28";"EGA"
"EGAS00001002940";"6";"3";"0";"9";"2018-03-31";"EGA"
"EGAS00001002941";"678";"0";"0";"678";"2018-04-04";"EGA"
"EGAS00001002945";"0";"0";"0";"0";"2018-04-05";"EGA"
"EGAS00001002948";"633";"0";"84";"717";"2018-04-06";"EGA"
"EGAS00001002947";"0";"183";"0";"183";"2018-04-06";"EGA"
"EGAS00001002953";"60";"43";"0";"103";"2018-04-07";"EGA"
"EGAS00001002952";"59";"37";"0";"96";"2018-04-07";"EGA"
"EGAS00001002954";"64";"26";"0";"90";"2018-04-10";"EGA"
"EGAS00001002955";"16";"7";"0";"23";"2018-04-11";"EGA"
"EGAS00001002957";"8";"11";"0";"19";"2018-04-12";"EGA"
"EGAS00001002962";"123";"77";"0";"200";"2018-04-18";"EGA"
"EGAS00001002963";"0";"26";"0";"26";"2018-04-19";"EGA"
"EGAS00001002965";"140";"0";"0";"140";"2018-04-19";"EGA"
"EGAS00001002964";"1";"1";"46";"48";"2018-04-19";"EGA"
"EGAS00001002966";"152";"305";"0";"457";"2018-04-20";"EGA"
"EGAS00001002968";"0";"0";"1";"1";"2018-04-21";"EGA"
"EGAS00001002969";"1058";"1112";"0";"2170";"2018-04-21";"EGA"
"EGAS00001002967";"0";"0";"437";"437";"2018-04-21";"EGA"
"EGAS00001002976";"322";"374";"0";"696";"2018-04-27";"EGA"
"EGAS00001002977";"133";"59";"0";"192";"2018-04-28";"EGA"
"EGAS00001002979";"136";"82";"6";"224";"2018-04-28";"EGA"
"EGAS00001002981";"102";"10";"0";"112";"2018-04-29";"EGA"
"EGAS00001002980";"14";"13";"1";"28";"2018-04-29";"EGA"
"EGAS00001002983";"36";"16";"9";"61";"2018-05-03";"EGA"
"EGAS00001002988";"20";"0";"0";"20";"2018-05-04";"EGA"
"EGAS00001002987";"1";"6";"0";"7";"2018-05-04";"EGA"
"EGAS00001002991";"0";"0";"5";"5";"2018-05-08";"EGA"
"EGAS00001002993";"0";"0";"639";"639";"2018-05-09";"EGA"
"EGAS00001002996";"11";"11";"0";"22";"2018-05-11";"EGA"
"EGAS00001002999";"1";"0";"0";"1";"2018-05-15";"EGA"
"EGAS00001002998";"0";"55";"0";"55";"2018-05-15";"EGA"
"EGAS00001003003";"0";"17";"0";"17";"2018-05-16";"EGA"
"EGAS00001003001";"14";"0";"0";"14";"2018-05-16";"EGA"
"EGAS00001003004";"327";"494";"52";"873";"2018-05-17";"EGA"
"EGAS00001003006";"0";"0";"0";"0";"2018-05-18";"EGA"
"EGAS00001003007";"44";"0";"0";"44";"2018-05-18";"EGA"
"EGAS00001003010";"0";"0";"256";"256";"2018-05-19";"EGA"
"EGAS00001003008";"382";"141";"0";"523";"2018-05-19";"EGA"
"EGAS00001003016";"5";"5";"0";"10";"2018-05-22";"EGA"
"EGAS00001003017";"2";"12";"0";"14";"2018-05-23";"EGA"
"EGAS00001003018";"23702";"32277";"0";"55979";"2018-05-23";"EGA"
"EGAS00001003023";"799";"27";"142";"968";"2018-05-24";"EGA"
"EGAS00001003025";"0";"2";"0";"2";"2018-05-25";"EGA"
"EGAS00001003027";"102";"108";"1007";"1217";"2018-05-28";"EGA"
"EGAS00001003029";"6";"38";"0";"44";"2018-05-28";"EGA"
"EGAS00001003026";"9";"0";"0";"9";"2018-05-28";"EGA"
"EGAS00001003028";"117";"59";"115";"291";"2018-05-28";"EGA"
"EGAS00001003031";"7";"0";"0";"7";"2018-05-31";"EGA"
"EGAS00001003032";"0";"1";"0";"1";"2018-06-01";"EGA"
"EGAS00001003033";"0";"1";"0";"1";"2018-06-01";"EGA"
"EGAS00001003035";"74";"43";"0";"117";"2018-06-03";"EGA"
"EGAS00001003038";"112";"155";"0";"267";"2018-06-06";"EGA"
"EGAS00001003040";"3212";"1644";"0";"4856";"2018-06-07";"EGA"
"EGAS00001003043";"156";"38";"0";"194";"2018-06-07";"EGA"
"EGAS00001003044";"0";"86";"0";"86";"2018-06-07";"EGA"
"EGAS00001003047";"2";"1";"0";"3";"2018-06-07";"EGA"
"EGAS00001003039";"453";"519";"0";"972";"2018-06-07";"EGA"
"EGAS00001003048";"0";"28";"0";"28";"2018-06-08";"EGA"
"EGAS00001003053";"4";"6";"0";"10";"2018-06-10";"EGA"
"EGAS00001003054";"129";"32";"0";"161";"2018-06-11";"EGA"
"EGAS00001003060";"38";"12";"2";"52";"2018-06-15";"EGA"
"EGAS00001003062";"17";"11";"0";"28";"2018-06-15";"EGA"
"EGAS00001003064";"84";"52";"0";"136";"2018-06-16";"EGA"
"EGAS00001003063";"96";"24";"0";"120";"2018-06-16";"EGA"
"EGAS00001003065";"136";"44";"0";"180";"2018-06-19";"EGA"
"EGAS00001003068";"22";"8";"0";"30";"2018-06-20";"EGA"
"EGAS00001003066";"0";"0";"139";"139";"2018-06-20";"EGA"
"EGAS00001003071";"114";"69";"0";"183";"2018-06-22";"EGA"
"EGAS00001003070";"53";"34";"0";"87";"2018-06-22";"EGA"
"EGAS00001003072";"1";"0";"0";"1";"2018-06-23";"EGA"
"EGAS00001003073";"0";"186";"0";"186";"2018-06-23";"EGA"
"EGAS00001003075";"0";"124";"0";"124";"2018-06-27";"EGA"
"EGAS00001003079";"19";"8";"0";"27";"2018-06-28";"EGA"
"EGAS00001003081";"29";"15";"0";"44";"2018-06-28";"EGA"
"EGAS00001003085";"0";"0";"15";"15";"2018-06-29";"EGA"
"EGAS00001003093";"379";"65";"0";"444";"2018-07-04";"EGA"
"EGAS00001003092";"18";"38";"0";"56";"2018-07-04";"EGA"
"EGAS00001003094";"0";"0";"16";"16";"2018-07-05";"EGA"
"EGAS00001003095";"0";"24";"0";"24";"2018-07-05";"EGA"
"EGAS00001003096";"53";"47";"0";"100";"2018-07-06";"EGA"
"EGAS00001003099";"0";"0";"54";"54";"2018-07-06";"EGA"
"EGAS00001003103";"659";"746";"0";"1405";"2018-07-07";"EGA"
"EGAS00001003101";"0";"0";"129";"129";"2018-07-07";"EGA"
"EGAS00001003105";"0";"0";"109";"109";"2018-07-08";"EGA"
"EGAS00001003110";"34";"37";"0";"71";"2018-07-11";"EGA"
"EGAS00001003108";"0";"36";"0";"36";"2018-07-11";"EGA"
"EGAS00001003112";"0";"0";"886";"886";"2018-07-12";"EGA"
"EGAS00001003113";"1140";"0";"0";"1140";"2018-07-13";"EGA"
"EGAS00001003114";"4";"0";"0";"4";"2018-07-14";"EGA"
"EGAS00001003115";"230";"89";"0";"319";"2018-07-16";"EGA"
"EGAS00001003117";"0";"0";"17";"17";"2018-07-17";"EGA"
"EGAS00001003116";"0";"0";"28";"28";"2018-07-17";"EGA"
"EGAS00001003118";"108";"53";"0";"161";"2018-07-18";"EGA"
"EGAS00001003119";"0";"0";"380";"380";"2018-07-18";"EGA"
"EGAS00001003121";"0";"0";"30";"30";"2018-07-19";"EGA"
"EGAS00001003123";"41";"39";"0";"80";"2018-07-20";"EGA"
"EGAS00001003127";"0";"0";"12";"12";"2018-07-21";"EGA"
"EGAS00001003128";"2";"4";"0";"6";"2018-07-24";"EGA"
"EGAS00001003131";"0";"0";"81";"81";"2018-07-28";"EGA"
"EGAS00001003130";"28";"11";"0";"39";"2018-08-01";"EGA"
"EGAS00001003136";"0";"0";"18";"18";"2018-08-01";"EGA"
"EGAS00001003138";"0";"0";"9";"9";"2018-08-01";"EGA"
"EGAS00001003142";"0";"29";"0";"29";"2018-08-01";"EGA"
"EGAS00001003139";"0";"0";"9";"9";"2018-08-01";"EGA"
"EGAS00001003137";"0";"0";"12";"12";"2018-08-01";"EGA"
"EGAS00001003140";"0";"0";"19";"19";"2018-08-01";"EGA"
"EGAS00001003144";"2747";"1641";"252";"4640";"2018-08-02";"EGA"
"EGAS00001003147";"26";"64";"0";"90";"2018-08-03";"EGA"
"EGAS00001003145";"211";"49";"1";"261";"2018-08-03";"EGA"
"EGAS00001003148";"8";"0";"0";"8";"2018-08-04";"EGA"
"EGAS00001003151";"0";"0";"12";"12";"2018-08-09";"EGA"
"EGAS00001003154";"82";"59";"0";"141";"2018-08-10";"EGA"
"EGAS00001003158";"151";"54";"0";"205";"2018-08-11";"EGA"
"EGAS00001003157";"0";"0";"2";"2";"2018-08-11";"EGA"
"EGAS00001003159";"0";"0";"906";"906";"2018-08-15";"EGA"
"EGAS00001003162";"6";"0";"0";"6";"2018-08-16";"EGA"
"EGAS00001003160";"0";"0";"338";"338";"2018-08-16";"EGA"
"EGAS00001003163";"0";"0";"77";"77";"2018-08-17";"EGA"
"EGAS00001003167";"0";"0";"113";"113";"2018-08-21";"EGA"
"EGAS00001003168";"74";"131";"0";"205";"2018-08-21";"EGA"
"EGAS00001003170";"16";"5";"26";"47";"2018-08-22";"EGA"
"EGAS00001003172";"109";"0";"0";"109";"2018-08-23";"EGA"
"EGAS00001003173";"0";"28";"0";"28";"2018-08-23";"EGA"
"EGAS00001003174";"0";"0";"41";"41";"2018-08-23";"EGA"
"EGAS00001003171";"34";"0";"0";"34";"2018-08-23";"EGA"
"EGAS00001003175";"0";"0";"595";"595";"2018-08-24";"EGA"
"EGAS00001003176";"0";"2";"1";"3";"2018-08-25";"EGA"
"EGAS00001003178";"102";"26";"0";"128";"2018-08-28";"EGA"
"EGAS00001003177";"0";"1";"0";"1";"2018-08-28";"EGA"
"EGAS00001003179";"80";"0";"0";"80";"2018-08-29";"EGA"
"EGAS00001003180";"49";"39";"0";"88";"2018-08-30";"EGA"
"EGAS00001003184";"185";"94";"0";"279";"2018-08-31";"EGA"
"EGAS00001003186";"71";"91";"0";"162";"2018-09-01";"EGA"
"EGAS00001003185";"0";"0";"554";"554";"2018-09-01";"EGA"
"EGAS00001003190";"13318";"31756";"0";"45074";"2018-09-05";"EGA"
"EGAS00001003193";"8";"8";"0";"16";"2018-09-08";"EGA"
"EGAS00001003195";"13866";"29517";"288";"43671";"2018-09-09";"EGA"
"EGAS00001003197";"0";"0";"16";"16";"2018-09-11";"EGA"
"EGAS00001003200";"0";"9";"0";"9";"2018-09-12";"EGA"
"EGAS00001003201";"52";"53";"0";"105";"2018-09-12";"EGA"
"EGAS00001003203";"8";"4";"0";"12";"2018-09-12";"EGA"
"EGAS00001003199";"0";"1";"1";"2";"2018-09-12";"EGA"
"EGAS00001003206";"24";"16";"1";"41";"2018-09-13";"EGA"
"EGAS00001003207";"60";"16";"1055";"1131";"2018-09-13";"EGA"
"EGAS00001003208";"60";"16";"1055";"1131";"2018-09-13";"EGA"
"EGAS00001003212";"0";"0";"2";"2";"2018-09-15";"EGA"
"EGAS00001003213";"1";"3";"0";"4";"2018-09-15";"EGA"
"EGAS00001003214";"70";"50";"0";"120";"2018-09-16";"EGA"
"EGAS00001003215";"16";"0";"0";"16";"2018-09-19";"EGA"
"EGAS00001003220";"4";"4";"0";"8";"2018-09-19";"EGA"
"EGAS00001003216";"6730";"16541";"70";"23341";"2018-09-19";"EGA"
"EGAS00001003217";"5";"3";"3";"11";"2018-09-19";"EGA"
"EGAS00001003221";"0";"198";"0";"198";"2018-09-20";"EGA"
"EGAS00001003223";"169";"94";"0";"263";"2018-09-20";"EGA"
"EGAS00001003225";"0";"0";"22";"22";"2018-09-21";"EGA"
"EGAS00001003228";"94";"12";"0";"106";"2018-09-25";"EGA"
"EGAS00001003232";"18";"16";"0";"34";"2018-09-26";"EGA"
"EGAS00001003231";"3";"3";"0";"6";"2018-09-26";"EGA"
"EGAS00001003235";"8";"6";"0";"14";"2018-09-28";"EGA"
"EGAS00001003237";"93";"17";"0";"110";"2018-09-28";"EGA"
"EGAS00001003233";"138";"76";"4";"218";"2018-09-28";"EGA"
"EGAS00001003234";"12";"8";"0";"20";"2018-09-28";"EGA"
"EGAS00001003238";"0";"28";"0";"28";"2018-09-29";"EGA"
"EGAS00001003239";"2";"2";"0";"4";"2018-10-02";"EGA"
"EGAS00001003242";"0";"107";"0";"107";"2018-10-03";"EGA"
"EGAS00001003244";"665";"713";"0";"1378";"2018-10-03";"EGA"
"EGAS00001003245";"19";"34";"0";"53";"2018-10-03";"EGA"
"EGAS00001003250";"9";"13";"0";"22";"2018-10-05";"EGA"
"EGAS00001003248";"99";"65";"0";"164";"2018-10-05";"EGA"
"EGAS00001003249";"0";"0";"693";"693";"2018-10-05";"EGA"
"EGAS00001003251";"2";"4";"0";"6";"2018-10-06";"EGA"
"EGAS00001003252";"0";"72";"0";"72";"2018-10-09";"EGA"
"EGAS00001003254";"27";"17";"0";"44";"2018-10-10";"EGA"
"EGAS00001003258";"0";"118";"0";"118";"2018-10-10";"EGA"
"EGAS00001003257";"0";"0";"145";"145";"2018-10-10";"EGA"
"EGAS00001003256";"0";"0";"0";"0";"2018-10-10";"EGA"
"EGAS00001003255";"0";"0";"13";"13";"2018-10-10";"EGA"
"EGAS00001003263";"57";"23";"0";"80";"2018-10-16";"EGA"
"EGAS00001003266";"0";"0";"1423";"1423";"2018-10-17";"EGA"
"EGAS00001003275";"20";"12";"0";"32";"2018-10-19";"EGA"
"EGAS00001003274";"8";"4";"0";"12";"2018-10-19";"EGA"
"EGAS00001003276";"86";"102";"0";"188";"2018-10-19";"EGA"
"EGAS00001003278";"0";"0";"1";"1";"2018-10-23";"EGA"
"EGAS00001003280";"229";"355";"0";"584";"2018-10-26";"EGA"
"EGAS00001003281";"17";"3";"0";"20";"2018-10-30";"EGA"
"EGAS00001003282";"16";"36";"0";"52";"2018-10-30";"EGA"
"EGAS00001003284";"34";"24";"0";"58";"2018-10-31";"EGA"
"EGAS00001003285";"44";"12";"0";"56";"2018-10-31";"EGA"
"EGAS00001003286";"11";"0";"0";"11";"2018-11-01";"EGA"
"EGAS00001003288";"4";"1";"19";"24";"2018-11-02";"EGA"
"EGAS00001003292";"0";"96";"0";"96";"2018-11-06";"EGA"
"EGAS00001003290";"0";"1326";"0";"1326";"2018-11-06";"EGA"
"EGAS00001003291";"28";"25";"0";"53";"2018-11-06";"EGA"
"EGAS00001003293";"192";"0";"0";"192";"2018-11-07";"EGA"
"EGAS00001003296";"485";"569";"0";"1054";"2018-11-08";"EGA"
"EGAS00001003295";"9";"25";"0";"34";"2018-11-08";"EGA"
